1948-10-01,93.0/55.0,15
1948-10-02,83.0/52.0,36
1948-10-03,85.0/53.0,43
1948-10-08,95.0/54.0,7
1948-10-11,73.0/49.0,26
1948-10-13,78.0/50.0,40
1948-10-14,77.0/52.0,28
1948-10-15,78.0/48.0,31
1948-10-16,82.0/49.0,20
1948-10-17,82.0/50.0,34
1948-10-20,82.0/47.0,16
1948-10-22,92.0/49.0,2
1948-10-23,84.0/51.0,23
1948-10-24,79.0/52.0,35
1948-10-25,82.0/48.0,30
1948-10-28,72.0/38.0,15
1948-10-29,61.0/45.0,34
1948-10-31,70.0/41.0,27
1948-11-01,77.0/45.0,20
1948-11-03,67.0/47.0,24
1948-11-04,68.0/39.0,33
1948-11-05,73.0/40.0,9
1948-11-08,68.0/35.0,16
1948-11-09,72.0/35.0,2
1948-11-12,79.0/40.0,4
1948-11-14,79.0/39.0,2
1948-11-15,72.0/47.0,29
1948-11-17,61.0/40.0,28
1948-11-18,67.0/34.0,11
1948-11-19,63.0/38.0,29
1948-11-20,57.0/38.0,42
1948-11-21,63.0/31.0,9
1948-11-22,69.0/35.0,13
1948-11-24,70.0/39.0,17
1948-11-26,58.0/35.0,32
1948-11-27,60.0/27.0,6
1948-11-28,65.0/28.0,3
1948-11-30,62.0/30.0,9
1948-12-01,58.0/30.0,16
1948-12-03,52.0/40.0,22
1948-12-04,53.0/34.0,19
1948-12-05,47.0/33.0,6
1948-12-06,54.0/34.0,19
1948-12-07,56.0/32.0,19
1948-12-08,50.0/46.0,9
1948-12-10,50.0/37.0,18
1948-12-11,55.0/35.0,26
1948-12-12,62.0/44.0,34
1948-12-15,50.0/29.0,10
1948-12-16,50.0/32.0,21
1948-12-17,56.0/42.0,32
1948-12-18,47.0/40.0,15
1948-12-19,45.0/40.0,8
1948-12-20,43.0/39.0,14
1948-12-21,44.0/39.0,7
1948-12-23,48.0/29.0,4
1948-12-24,51.0/28.0,6
1948-12-25,57.0/29.0,8
1948-12-26,53.0/43.0,17
1948-12-27,53.0/40.0,23
1948-12-28,55.0/34.0,21
1948-12-29,44.0/33.0,5
1948-12-30,42.0/40.0,1
1948-12-31,48.0/39.0,8
1949-01-02,49.0/32.0,9
1949-01-03,46.0/24.0,2
1949-01-04,47.0/24.0,5
1949-01-05,47.0/20.0,1
1949-01-06,54.0/23.0,2
1949-01-07,65.0/27.0,1
1949-01-08,49.0/30.0,16
1949-01-09,42.0/23.0,1
1949-01-10,42.0/18.0,2
1949-01-11,40.0/19.0,1
1949-01-12,49.0/25.0,4
1949-01-14,57.0/33.0,23
1949-01-15,51.0/26.0,6
1949-01-16,53.0/24.0,2
1949-01-17,56.0/24.0,1
1949-01-20,49.0/37.0,14
1949-01-21,54.0/37.0,27
1949-01-22,55.0/38.0,32
1949-01-24,45.0/28.0,2
1949-01-26,53.0/27.0,10
1949-01-27,54.0/25.0,6
1949-01-28,55.0/27.0,5
1949-01-29,58.0/26.0,2
1949-01-30,57.0/30.0,13
1949-01-31,57.0/26.0,1
1949-02-01,58.0/31.0,24
1949-02-02,56.0/29.0,7
1949-02-03,54.0/35.0,20
1949-02-04,50.0/34.0,19
1949-02-05,53.0/32.0,17
1949-02-06,52.0/27.0,7
1949-02-08,54.0/29.0,10
1949-02-10,57.0/34.0,21
1949-02-11,50.0/35.0,19
1949-02-13,50.0/24.0,6
1949-02-14,55.0/25.0,2
1949-02-15,59.0/29.0,13
1949-02-16,63.0/34.0,16
1949-02-18,69.0/37.0,17
1949-02-21,71.0/41.0,14
1949-02-24,61.0/46.0,28
1949-02-25,65.0/44.0,31
1949-02-26,54.0/46.0,14
1949-02-27,57.0/45.0,26
1949-02-28,64.0/46.0,28
1949-03-01,66.0/43.0,30
1949-03-02,62.0/48.0,33
1949-03-04,63.0/46.0,33
1949-03-06,64.0/39.0,29
1949-03-07,56.0/45.0,20
1949-03-09,60.0/46.0,34
