1948-09-19,90.0/70.0,64
1948-09-20,92.0/70.0,71
1948-09-21,95.0/67.0,33
1948-09-23,91.0/63.0,26
1948-09-24,87.0/66.0,33
1948-09-25,80.0/60.0,39
1948-09-27,76.0/46.0,23
1948-09-28,78.0/49.0,16
1948-09-29,80.0/49.0,14
1948-09-30,85.0/52.0,8
1948-10-01,86.0/54.0,11
1948-10-02,84.0/54.0,16
1948-10-04,82.0/53.0,15
1948-10-05,84.0/58.0,29
1948-10-07,72.0/44.0,14
1948-10-08,78.0/46.0,25
1948-10-09,76.0/53.0,22
1948-10-10,74.0/57.0,18
1948-10-11,70.0/40.0,18
1948-10-13,90.0/55.0,2
1948-10-14,77.0/51.0,19
1948-10-15,86.0/49.0,3
1948-10-16,75.0/45.0,22
1948-10-17,57.0/36.0,16
1948-10-18,65.0/33.0,13
1948-10-19,73.0/38.0,8
1948-10-20,73.0/53.0,24
1948-10-21,65.0/53.0,14
1948-10-22,75.0/47.0,17
1948-10-23,67.0/43.0,19
1948-10-24,72.0/37.0,14
1948-10-25,72.0/42.0,22
1948-10-26,73.0/47.0,21
1948-10-27,74.0/45.0,28
1948-10-28,70.0/51.0,19
1948-10-29,77.0/56.0,26
1948-10-30,74.0/60.0,15
1948-10-31,84.0/50.0,15
1948-11-02,69.0/53.0,14
1948-11-04,75.0/49.0,21
1948-11-05,51.0/43.0,5
1948-11-06,61.0/40.0,24
1948-11-07,66.0/35.0,10
1948-11-08,55.0/39.0,16
1948-11-09,50.0/32.0,21
1948-11-10,61.0/29.0,11
1948-11-11,60.0/35.0,27
1948-11-12,57.0/42.0,23
1948-11-13,64.0/33.0,25
1948-11-15,62.0/47.0,10
1948-11-16,65.0/44.0,14
1948-11-17,71.0/37.0,14
1948-11-20,59.0/28.0,22
1948-11-22,44.0/25.0,9
1948-11-23,54.0/25.0,19
1948-11-24,58.0/29.0,20
1948-11-25,62.0/43.0,16
1948-11-26,60.0/39.0,21
1948-11-27,47.0/34.0,12
1948-11-28,38.0/27.0,9
1948-11-29,52.0/23.0,10
1948-11-30,59.0/30.0,13
1948-12-02,49.0/37.0,5
1948-12-03,68.0/31.0,15
1948-12-04,66.0/46.0,15
1948-12-05,67.0/31.0,11
1948-12-07,47.0/29.0,12
1948-12-08,55.0/30.0,10
1948-12-09,40.0/27.0,13
1948-12-10,49.0/22.0,7
1948-12-11,66.0/39.0,17
1948-12-12,68.0/36.0,21
1948-12-14,72.0/64.0,8
1948-12-15,75.0/34.0,3
1948-12-16,51.0/27.0,10
1948-12-17,49.0/36.0,8
1948-12-18,52.0/35.0,16
1948-12-19,49.0/25.0,11
1948-12-20,53.0/30.0,19
1948-12-21,54.0/32.0,21
1948-12-22,52.0/34.0,18
1948-12-23,43.0/37.0,7
1948-12-24,39.0/32.0,8
1948-12-25,32.0/24.0,3
1948-12-27,47.0/28.0,17
1948-12-28,60.0/33.0,20
1948-12-29,40.0/24.0,6
1948-12-30,47.0/19.0,5
1948-12-31,40.0/23.0,6
1949-01-01,53.0/29.0,14
1949-01-02,65.0/35.0,17
1949-01-03,58.0/20.0,4
1949-01-04,33.0/17.0,4
1949-01-05,46.0/17.0,5
1949-01-07,57.0/33.0,18
1949-01-08,67.0/47.0,26
1949-01-09,62.0/15.0,2
1949-01-10,27.0/14.0,5
1949-01-11,27.0/19.0,4
1949-01-12,31.0/20.0,12
1949-01-13,40.0/31.0,11
1949-01-14,52.0/38.0,7
1949-01-15,60.0/40.0,23
1949-01-16,40.0/18.0,4
1949-01-19,21.0/10.0,5
1949-01-20,30.0/16.0,4
1949-01-21,32.0/22.0,13
1949-01-22,42.0/23.0,8
1949-01-23,56.0/30.0,27
1949-01-24,30.0/13.0,1
1949-01-25,17.0/11.0,2
1949-01-26,24.0/15.0,2
1949-01-27,31.0/21.0,3
1949-01-28,25.0/11.0,6
1949-01-29,15.0/5.0,1
1949-01-30,16.0/2.0,1
1949-01-31,29.0/8.0,2
1949-02-02,34.0/17.0,4
1949-02-04,36.0/28.0,6
1949-02-06,42.0/25.0,8
1949-02-07,49.0/24.0,8
1949-02-08,43.0/31.0,20
1949-02-11,62.0/38.0,16
1949-02-12,63.0/32.0,22
